symbol,strategy,price,ma30,vol_ratio,reason
VZ,Weinstein,47.38999938964844,41.351677831013994,0.8351547030579392,30일선 상승돌파
MRK,Weinstein,117.1500015258789,110.72833353678385,0.8324992789484205,30일선 상승돌파
SHW,Weinstein,364.6499938964844,349.0676666259766,0.8313895242710402,30일선 상승돌파
BKR,Weinstein,59.150001525878906,52.87600008646647,0.8292951014651785,30일선 상승돌파
FANG,Weinstein,164.88999938964844,154.8213348388672,0.8150979502947728,30일선 상승돌파
HAL,Weinstein,34.02000045776367,32.52966677347819,0.8136066739241519,30일선 상승돌파
PG,Weinstein,159.0800018310547,147.36621602376303,0.8110693232453087,30일선 상승돌파
AMAT,Weinstein,329.07000732421875,307.7450012207031,0.8063148273281974,30일선 상승돌파
C,Weinstein,122.1500015258789,117.13730392456054,0.8061958990449197,30일선 상승돌파
PFE,Weinstein,27.610000610351562,25.62221844991048,0.7837811066135324,30일선 상승돌파
ITW,Weinstein,294.25,262.73070068359374,0.7720169846183967,30일선 상승돌파
HON,Weinstein,243.33999633789062,216.99500122070313,0.7655711557017112,30일선 상승돌파
MPC,Weinstein,204.14999389648438,178.38066660563152,0.7626843041107577,30일선 상승돌파
AMT,Weinstein,178.50999450683594,175.96666819254557,0.7602277819056316,30일선 상승돌파
TGT,Weinstein,113.2300033569336,106.69699935913086,0.7567609808718196,30일선 상승돌파
PLD,Weinstein,140.47999572753906,130.65799942016602,0.7467377041613641,30일선 상승돌파
SBUX,Weinstein,97.52999877929688,92.23400014241537,0.7427463358227226,30일선 상승돌파
OXY,Weinstein,46.27000045776367,43.62766660054525,0.7407106275910665,30일선 상승돌파
HD,Weinstein,389.67999267578125,371.6026672363281,0.7390716117406725,30일선 상승돌파
XOM,Weinstein,151.58999633789062,132.9403330485026,0.7311995607710394,30일선 상승돌파
FDX,Weinstein,367.95001220703125,318.9743326822917,0.7243518924519936,30일선 상승돌파
NEE,Weinstein,90.83000183105469,84.34366709391276,0.722448546105615,30일선 상승돌파
TFC,Weinstein,55.099998474121094,51.26866658528646,0.7196981508622033,30일선 상승돌파
BRK-B,Weinstein,500.29998779296875,492.88799743652345,0.7170918352843523,30일선 상승돌파
GE,Weinstein,316.3299865722656,312.5603332519531,0.7055965167975113,30일선 상승돌파
COST,Weinstein,971.22998046875,941.9561096191406,0.7051825667932125,30일선 상승돌파
CL,Weinstein,93.93000030517578,85.04387181599935,0.6957051609329695,30일선 상승돌파
PM,Weinstein,182.69000244140625,170.69099985758464,0.6910695075342449,30일선 상승돌파
T,Weinstein,27.40999984741211,24.692291577657063,0.6871022091776958,30일선 상승돌파
JNJ,Weinstein,238.35000610351562,219.7260009765625,0.6851895923587198,30일선 상승돌파
INTC,Weinstein,47.130001068115234,45.65666707356771,0.6816041530726616,30일선 상승돌파
MRNA,Weinstein,41.994998931884766,40.18016662597656,0.6800498685036719,30일선 상승돌파
USB,Weinstein,60.54999923706055,56.024606196085614,0.6630204803576205,30일선 상승돌파
ADI,Weinstein,325.1600036621094,301.93700154622394,0.6574989791548398,30일선 상승돌파
CPRT,Weinstein,40.349998474121094,40.00966682434082,0.6555490596870172,30일선 상승돌파
PCAR,Weinstein,127.06999969482422,120.55799992879231,0.6552386641356197,30일선 상승돌파
GIS,Weinstein,48.65999984741211,45.31458740234375,0.6466670574126601,30일선 상승돌파
PSX,Weinstein,157.30999755859375,142.02133229573568,0.6418983329247878,30일선 상승돌파
VLO,Weinstein,199.5,183.12465159098306,0.6398796882718089,30일선 상승돌파
LMT,Weinstein,629.5599975585938,571.2423309326172,0.638832427758313,30일선 상승돌파
SLB,Weinstein,50.31999969482422,46.51700019836426,0.6376024656880124,30일선 상승돌파
APD,Weinstein,290.7699890136719,265.1296961466471,0.6225813252807193,30일선 상승돌파
SMCI,Weinstein,33.33000183105469,30.83866678873698,0.6183366950907675,30일선 상승돌파
BA,Weinstein,242.58999633789062,237.51333262125652,0.6173584986638643,30일선 상승돌파
CVX,Weinstein,182.25999450683594,167.0886657714844,0.6159720890875076,30일선 상승돌파
AAPL,Weinstein,273.67999267578125,262.77121988932294,0.607039139701163,30일선 상승돌파
NEM,Weinstein,121.52999877929688,114.34599965413412,0.6045128154321084,30일선 상승돌파
COP,Weinstein,107.5,99.68899993896484,0.6005547485631281,30일선 상승돌파
AZO,Weinstein,3664.840087890625,3556.192000325521,0.5945317391693252,30일선 상승돌파
LRCX,Weinstein,226.61000061035156,215.45266672770182,0.5872542552179908,30일선 상승돌파
KLAC,Weinstein,1430.8399658203125,1429.298653157552,0.5861396600084111,30일선 상승돌파
ETN,Weinstein,377.4700012207031,340.6110026041667,0.5556984502297849,30일선 상승돌파
FAST,Weinstein,46.65999984741211,43.34195543924967,0.5550252057395624,30일선 상승돌파
META,Weinstein,670.719970703125,659.0346638997396,0.546644744264675,30일선 상승돌파
ASML,Weinstein,1413.6199951171875,1313.8628295898438,0.5305648611894258,30일선 상승돌파
WMT,Weinstein,126.69999694824219,118.93999989827473,0.5264085896519505,30일선 상승돌파
TXN,Weinstein,220.9199981689453,197.83031311035157,0.5224960146872605,30일선 상승돌파
DVN,Weinstein,43.47999954223633,38.55199991861979,0.48627077408415414,30일선 상승돌파
GD,Weinstein,358.8299865722656,355.39771321614586,0.4852509436600028,30일선 상승돌파
FCX,Weinstein,63.2599983215332,58.82791684468587,0.4715508280475642,30일선 상승돌파
