symbol,name,strategy,stage,price,confidence,vol_ratio,reason,status
111770.KS,영원무역,K-SEPA,Setup 대기,97200.0,0.3,2.0636445174987452,TT통과 | VCP/돌파 대기,
108490.KQ,로보티즈,K-SEPA,Setup 대기,276000.0,0.3,0.3624991120678216,TT통과 | VCP/돌파 대기,
000990.KS,DB하이텍,K-SEPA,Setup 대기,96800.0,0.3,0.6664963406765317,TT통과 | VCP/돌파 대기,
017800.KS,현대엘리베이터,K-SEPA,Setup 대기,104100.0,0.3,1.4530619060297374,TT통과 | VCP/돌파 대기,
310210.KQ,보로노이,K-SEPA,Setup 대기,218500.0,0.3,0.3842527882030261,TT통과 | VCP/돌파 대기,
035250.KS,강원랜드,K-SEPA,Setup 대기,18400.0,0.3,1.2884416924829012,TT통과 | VCP/돌파 대기,
036460.KS,한국가스공사,K-SEPA,Setup 대기,42750.0,0.3,2.2672856745933045,TT통과 | VCP/돌파 대기,
088350.KS,한화생명,K-SEPA,Setup 대기,4070.0,0.3,3.831148010711343,TT통과 | VCP/돌파 대기,
011780.KS,금호석유화학,K-SEPA,Setup 대기,139000.0,0.3,0.7609575428578105,TT통과 | VCP/돌파 대기,
004170.KS,신세계,K-SEPA,Setup 대기,376500.0,0.3,1.4201741405338897,TT통과 | VCP/돌파 대기,
012750.KS,에스원,K-SEPA,Setup 대기,90500.0,0.3,1.107493118260222,TT통과 | VCP/돌파 대기,
011170.KS,롯데케미칼,K-SEPA,Setup 대기,76600.0,0.3,0.8942915824870163,TT통과 | VCP/돌파 대기,
103590.KS,일진전기,K-SEPA,Setup 대기,68300.0,0.3,0.8343026296425974,TT통과 | VCP/돌파 대기,
000120.KS,CJ대한통운,K-SEPA,Setup 대기,136700.0,0.3,6.531286059483459,TT통과 | VCP/돌파 대기,
023530.KS,롯데쇼핑,K-SEPA,Setup 대기,113500.0,0.3,6.3096462453004865,TT통과 | VCP/돌파 대기,
014680.KS,한솔케미칼,K-SEPA,Setup 대기,287500.0,0.3,0.40687783292172797,TT통과 | VCP/돌파 대기,
068760.KQ,셀트리온제약,K-SEPA,Setup 대기,70300.0,0.3,0.5389393060041003,TT통과 | VCP/돌파 대기,
139130.KS,iM금융지주,K-SEPA,Setup 대기,18510.0,0.3,0.9062405531268609,TT통과 | VCP/돌파 대기,
018880.KS,한온시스템,K-Weinstein,,4570.0,,5.872951555644095,EMA120 위 + 거래량 증가,Stage 2 유지
000120.KS,CJ대한통운,K-Weinstein,,136700.0,,5.077407461536671,EMA120 위 + 거래량 증가,Stage 2 유지
139480.KS,이마트,K-Weinstein,,117600.0,,4.0678918734233545,EMA120 위 + 거래량 증가,Stage 2 유지
023530.KS,롯데쇼핑,K-Weinstein,,113500.0,,4.028035732048239,EMA120 위 + 거래량 증가,Stage 2 유지
097950.KS,CJ제일제당,K-Weinstein,,228500.0,,2.3670682243437184,EMA120 위 + 거래량 증가,Stage 2 유지
011200.KS,HMM,K-Weinstein,,21200.0,,2.288403052943183,EMA120 위 + 거래량 증가,Stage 2 유지
088350.KS,한화생명,K-Weinstein,,4070.0,,2.1164430740292426,EMA120 위 + 거래량 증가,Stage 2 유지
003490.KS,대한항공,K-Weinstein,,24950.0,,2.108685857254086,EMA120 위 + 거래량 증가,Stage 2 유지
012450.KS,한화에어로스페이스,K-Weinstein,,1146000.0,,2.081488687628761,EMA120 위 + 거래량 증가,Stage 2 유지
323410.KS,카카오뱅크,K-Weinstein,,27400.0,,1.8951442292194054,EMA120 위 + 거래량 증가,Stage 2 유지
111770.KS,영원무역,K-Weinstein,,97200.0,,1.8944740489088092,EMA120 위 + 거래량 증가,Stage 2 유지
036460.KS,한국가스공사,K-Weinstein,,42750.0,,1.659928390281581,EMA120 위 + 거래량 증가,Stage 2 유지
329180.KS,HD현대중공업,K-Weinstein,,534000.0,,1.5835764536315284,EMA120 위 + 거래량 증가,Stage 2 유지
029780.KS,삼성카드,K-Weinstein,,60600.0,,1.5717577989210902,EMA120 위 + 거래량 증가,Stage 2 유지
011070.KS,LG이노텍,K-Weinstein,,243500.0,,1.5219451313449113,EMA120 위 + 거래량 증가,Stage 2 유지
017800.KS,현대엘리베이터,K-Weinstein,,104100.0,,1.4820156635304975,EMA120 위 + 거래량 증가,Stage 2 유지
105560.KS,KB금융,K-Weinstein,,155500.0,,1.473023530220324,EMA120 위 + 거래량 증가,Stage 2 유지
267270.KS,HD건설기계,K-Weinstein,,130200.0,,1.4705690289756788,EMA120 위 + 거래량 증가,Stage 2 유지
316140.KS,우리금융지주,K-Weinstein,,35600.0,,1.4392606761322517,EMA120 위 + 거래량 증가,Stage 2 유지
005940.KS,NH투자증권,K-Weinstein,,28450.0,,1.41855170180167,EMA120 위 + 거래량 증가,Stage 2 유지
180640.KS,한진칼,K-Weinstein,,124600.0,,1.4108326150395654,EMA120 위 + 거래량 증가,Stage 2 유지
009830.KS,한화솔루션,K-Weinstein,,46600.0,,1.3899686061549712,EMA120 위 + 거래량 증가,Stage 2 유지
088980.KS,맥쿼리인프라,K-Weinstein,,11330.0,,1.3252225976725822,EMA120 위 + 거래량 증가,Stage 2 유지
031210.KS,서울보증보험,K-Weinstein,,55200.0,,1.320254960781753,EMA120 위 + 거래량 증가,Stage 2 유지
